,Time,Replicate,media,OD,Strain
476,9,2,DM29 + Succinate,0.216499999,MS002
477,9,2,DM29 + Sorbitol,0.224199995,MS002
478,9,2,DM29 + Mannitol,0.622000024,MS002
479,9,2,DM29 + Trehalose,0.247900002,MS002
480,9,3,DM29 + GalNAc,0.114299998,MS002
481,9,3,DM29 + Fucose,0.097499996,MS002
482,9,3,DM29 + Succinate,0.23739998,MS002
483,9,3,DM29 + Sorbitol,0.228499994,MS002
484,9,3,DM29 + Mannitol,0.644200012,MS002
485,9,3,DM29 + Trehalose,0.246599995,MS002
486,12,1,DM29 + GalNAc,0.197399989,MS002
487,12,1,DM29 + Fucose,0.24589999,MS002
488,12,1,DM29 + Succinate,0.345399991,MS002
489,12,1,DM29 + Sorbitol,0.252300009,MS002
490,12,1,DM29 + Mannitol,0.6197,MS002
491,12,1,DM29 + Trehalose,0.278699987,MS002
492,12,2,DM29 + GalNAc,0.183500007,MS002
493,12,2,DM29 + Fucose,0.26379998,MS002
494,12,2,DM29 + Succinate,0.338399991,MS002
495,12,2,DM29 + Sorbitol,0.24589999,MS002
496,12,2,DM29 + Mannitol,0.633800015,MS002
497,12,2,DM29 + Trehalose,0.277799986,MS002
498,12,3,DM29 + GalNAc,0.179999992,MS002
499,12,3,DM29 + Fucose,0.251799986,MS002
500,12,3,DM29 + Succinate,0.340899989,MS002
501,12,3,DM29 + Sorbitol,0.247600004,MS002
502,12,3,DM29 + Mannitol,0.6646,MS002
503,12,3,DM29 + Trehalose,0.284499995,MS002
504,15,1,DM29 + GalNAc,0.171199992,MS002
505,15,1,DM29 + Fucose,0.205200002,MS002
506,15,1,DM29 + Succinate,0.357199982,MS002
507,15,1,DM29 + Sorbitol,0.237999991,MS002
508,15,1,DM29 + Mannitol,0.567799971,MS002
509,15,1,DM29 + Trehalose,0.293600015,MS002
510,15,2,DM29 + GalNAc,0.161999986,MS002
511,15,2,DM29 + Fucose,0.248199984,MS002
512,15,2,DM29 + Succinate,0.333699986,MS002
513,15,2,DM29 + Sorbitol,0.235100016,MS002
514,15,2,DM29 + Mannitol,0.579299971,MS002
515,15,2,DM29 + Trehalose,0.300799988,MS002
516,15,3,DM29 + GalNAc,0.15550001,MS002
517,15,3,DM29 + Fucose,0.232999995,MS002
